Solution,RMSE,C1,C2
"[0.25775538 0.18394608 0.94251715 0.51922134 0.85046184 0.94122139
 0.83055012 0.01205066 0.80870305 0.22723305 0.26313933 0.6349166
 0.48392844 0.37923718 0.45685748 0.15924479 0.11277768 0.52897728
 0.55379412 0.44038573 0.93150343 0.67861661 0.35725382 0.450119
 0.86724533 0.72309518 0.15156251 0.77240305 0.62761525 0.52876894
 0.40933488 0.46629701]",0.036726465661129415,-0.00021146598110463252,-0.007765215712569561
"[0.25325324 0.21189869 0.87737275 0.55030321 0.84917973 0.94122139
 0.84564977 0.03582181 0.82732515 0.22240928 0.2794992  0.57532695
 0.5070668  0.36679241 0.47396234 0.11830988 0.13914873 0.53126943
 0.53647085 0.41146709 0.99519483 0.65593195 0.35372945 0.47504911
 0.82210253 0.70992267 0.16601618 0.76250308 0.5775045  0.52383167
 0.40933488 0.52316992]",0.03678567603446486,-0.0003265503027918906,-0.007438801638247769
"[0.26115192 0.17870954 0.92383358 0.54827428 0.8740499  0.92962878
 0.82799246 0.00724584 0.87263345 0.17075696 0.26313933 0.61003394
 0.48392844 0.36679241 0.47396234 0.11830988 0.16109322 0.54420795
 0.51205225 0.44038573 0.95638187 0.65593195 0.33189171 0.450119
 0.86036123 0.68613433 0.16465193 0.80077082 0.58453411 0.56253461
 0.39396385 0.5292708 ]",0.03684979137491789,-0.0004362514283641969,-0.0075768553344093045
"[0.26206364 0.17870954 0.93676227 0.53634152 0.85458023 0.93734894
 0.83787541 0.02862271 0.84162364 0.20094818 0.26313933 0.61003394
 0.48392844 0.36244403 0.45721754 0.12498845 0.15778986 0.52970656
 0.53647085 0.45169034 0.96466443 0.63661955 0.34753285 0.46325367
 0.86812191 0.66358157 0.1590978  0.80077082 0.58736056 0.56727033
 0.40933488 0.5054346 ]",0.03685406687781082,0.0023195987679415393,-0.008092558049510874
"[0.25775538 0.17827162 0.92383358 0.52978113 0.85053301 0.90269085
 0.83194088 0.05087092 0.85751849 0.19666819 0.2332579  0.57308409
 0.48392844 0.36679241 0.38665162 0.11830988 0.15899999 0.53529359
 0.5395871  0.46435895 0.99179845 0.68259422 0.35372945 0.450119
 0.90096124 0.71324388 0.18191371 0.80077082 0.62797065 0.48956508
 0.40933488 0.4685939 ]",0.03691037303852728,-0.0005069862756336765,-0.007749978537459807
"[0.25775538 0.17827162 0.8571032  0.83962362 0.85945638 0.37396483
 0.93773165 0.28803403 0.77685182 0.59366038 0.66916649 0.97871846
 0.25458241 0.41909519 0.1372406  0.12121054 0.34709516 0.49342304
 0.39588872 0.28022783 0.82654327 0.29729847 0.59112783 0.38328827
 0.76535014 0.57825012 0.03040712 0.8266234  0.48786192 0.50169726
 0.54330616 0.57971621]",0.036913824977836,0.0010469930657568648,-0.0072282288795265884
"[0.26072911 0.17393849 0.89584721 0.54179932 0.87132741 0.96649973
 0.83055012 0.02862271 0.84717938 0.19367484 0.26313933 0.59279901
 0.53202618 0.36679241 0.518524   0.14312628 0.14482665 0.50669857
 0.53647085 0.44038573 0.97999752 0.68766751 0.35372945 0.49681223
 0.8183798  0.64596601 0.15601443 0.84251426 0.61218464 0.55085812
 0.40933488 0.48759495]",0.037116618640032566,-0.0006584306401121211,-0.007243482821719905
"[0.24401745 0.17870954 0.93224897 0.56091177 0.8744981  0.94122139
 0.81553049 0.02406084 0.85336805 0.17602239 0.26313933 0.60769967
 0.48408495 0.39046951 0.47396234 0.12052974 0.16500144 0.50787157
 0.55110028 0.44038573 0.97621429 0.67802093 0.35372945 0.42890691
 0.86036123 0.69582067 0.16662633 0.80077082 0.58736056 0.56118597
 0.40933488 0.49826668]",0.03729021659887245,-0.0008042733407375435,-0.007259317329183562
"[0.2528894  0.19645076 0.92063952 0.55030321 0.87384169 0.95604295
 0.83596607 0.02862271 0.83370958 0.17140545 0.26313933 0.59550185
 0.48392844 0.38410681 0.45928218 0.11830988 0.14482665 0.52305357
 0.55582656 0.44741826 0.97589783 0.6533912  0.32983686 0.450119
 0.86407705 0.68613433 0.17053244 0.80077082 0.58736056 0.57408785
 0.40933488 0.5150985 ]",0.037402455332283674,-0.001025677554247196,-0.007656024742769298
"[0.23599832 0.21560797 0.95472567 0.54457051 0.84034982 0.91063701
 0.82830459 0.02862271 0.88364986 0.19367484 0.26313933 0.6124792
 0.48392844 0.39573374 0.47396234 0.10723784 0.16645799 0.52489408
 0.50611314 0.4000607  0.98117936 0.65593195 0.35372945 0.450119
 0.86036123 0.66739882 0.11771641 0.845252   0.60025087 0.53622887
 0.41721807 0.5054346 ]",0.03746679765597126,-0.0009342904967463601,-0.006970599595496929
"[0.27879458 0.1817997  0.92383358 0.50972561 0.8686603  0.94122139
 0.85731739 0.05087092 0.85751849 0.15897658 0.22158925 0.61003394
 0.48392844 0.36679241 0.43047833 0.06990394 0.19226105 0.57448312
 0.53647085 0.45775649 0.96486855 0.65593195 0.35372945 0.450119
 0.87176627 0.66374537 0.11735246 0.79284475 0.62797065 0.53905025
 0.40933488 0.45228021]",0.03790155321587335,-0.0016592875334150471,-0.008172488708578736
"[0.25775538 0.2017293  0.87819042 0.55030321 0.8681615  0.94122139
 0.81843591 0.05087092 0.85751849 0.15897658 0.27626281 0.62459595
 0.46269353 0.36679241 0.43047833 0.12415714 0.18816759 0.53529359
 0.53647085 0.41913672 0.9913339  0.65593195 0.31055943 0.44502117
 0.86036123 0.66374537 0.16488618 0.80432695 0.60388213 0.52192696
 0.38616416 0.46238697]",0.03824599319862962,0.0032046773461873214,-0.00793235254101157
"[0.25775538 0.17827162 0.93385978 0.5453555  0.90676809 0.94122139
 0.83194088 0.05087092 0.90961914 0.15897658 0.2332579  0.67953825
 0.60367859 0.52267897 0.43047833 0.16873001 0.19648974 0.70842095
 0.53647085 0.47561766 0.9913339  0.64048329 0.47792586 0.450119
 0.86036123 0.68907501 0.28897047 0.92945585 0.62797065 0.42877427
 0.27861853 0.34506336]",0.038394124270434475,0.004638091178112438,-0.0009401678770330907
