Test_Time(s),Voltage(V)
1274.6928,4.777168
1275.693,4.775551
1276.6926,4.774544
1277.6926,4.773994
1278.6924,4.772438
1279.6929,4.771004
1280.6931,4.770241
1281.6927,4.768101
1282.693,4.767765
1283.6925,4.767673
1284.6926,4.766453
1285.6927,4.76511
1286.6929,4.764225
1287.6924,4.761143
1288.6929,4.761448
1289.6925,4.760136
1290.693,4.759373
1291.6929,4.758701
1292.6928,4.757542
1293.6929,4.756287
1294.6929,4.755707
1295.6923,4.753754
1296.6927,4.752625
1297.693,4.752472
1298.6928,4.750763
1299.6929,4.750183
1300.6928,4.748383
1301.6924,4.747223
1302.6925,4.746185
1303.6924,4.745331
1304.6925,4.744045
1305.6926,4.741909
1306.6926,4.741634
1307.6929,4.737514
1308.6924,4.737667
1309.6925,4.7355
1310.6924,4.734249
1311.6927,4.731407
1312.6926,4.729332
1313.6928,4.728386
1314.6925,4.726372
1315.6926,4.724205
1316.6928,4.723473
1317.693,4.721092
1318.6926,4.719654
1319.6925,4.717396
1320.6928,4.715412
1321.6929,4.714558
1322.6931,4.714069
1323.6924,4.710041
1324.6929,4.709888
1325.6931,4.707718
1326.6924,4.707779
1327.6926,4.704819
1328.6929,4.702194
1329.6924,4.700424
1330.6927,4.69838
1331.6928,4.6978
1332.6927,4.69566
1333.6924,4.695019
1334.6928,4.692272
1335.6924,4.691326
1336.6925,4.689373
1337.6925,4.687939
1338.6924,4.686047
1339.6929,4.683601
1340.6924,4.682076
1341.693,4.679176
1342.6926,4.676338
1343.6931,4.674599
1344.6928,4.67252
1345.693,4.669834
1346.6926,4.666447
1347.6926,4.664097
1348.6926,4.661381
1349.693,4.658234
1350.6924,4.657074
1351.6928,4.653534
1352.6928,4.651123
1353.693,4.647701
1354.6923,4.646114
1355.6931,4.643581
1356.6928,4.641232
1357.6929,4.639217
1358.6928,4.637539
1359.6923,4.634575
1360.6926,4.633507
1361.6926,4.631126
1362.6928,4.629265
1363.6926,4.628593
1364.6925,4.62542
1365.6928,4.623341
1366.6926,4.622425
1367.6928,4.619556
