sample_idx,rmse
235,0.07146436523219098
236,0.0588178008670825
237,0.07161669766835241
238,0.09146595370130632
239,0.06951443702931147
240,0.07112477117598452
241,0.07082914427178158
242,0.0712461060318629
243,0.07112477117598452
244,0.07090925346066615
245,0.07112477117598452
246,0.07112478151771304
247,0.07053026808594513
248,0.07120760786043215
249,0.0711255258614763
250,0.07112800727941435
251,0.07114280781751514
252,0.0711421771401925
253,0.10831853262979274
254,0.039445831939698396
255,0.2560610918554441
256,0.2693466843203437
257,0.33340437303462084
258,0.03522668579897727
259,0.044983843527679285
260,0.2679265421080399
261,0.041035614922131654
262,0.044200148773486166
263,0.0435772992326019
264,0.04443287745926956
265,0.044200148773486166
266,0.04418900774494922
267,0.044200148773486166
268,0.04419907618414572
269,0.04313768146537709
270,0.044611083414735006
271,0.04420219502926081
272,0.0442066818174602
273,0.0409911159869275
274,0.04110178442686463
275,0.044200148773486166
276,0.041927126555065676
277,0.050509274244937584
278,0.1260113303737871
279,0.27281719431275253
280,0.04354214134232305
281,0.04229712761704385
282,0.07992414384306838
283,0.040931466278115815
284,0.07705794608395736
285,0.039810604409872934
286,0.041927126555065676
287,0.041587167198390215
288,0.04166833363167746
289,0.041927126555065676
290,0.03826542082161343
291,0.041927126555065676
292,0.041927992480989086
293,0.041990432704701215
294,0.04156981213833301
295,0.04192772947222132
296,0.041927126555065676
297,0.041898273546219715
298,0.04205720055795657
299,0.2250071255275481
300,0.041586157800300914
301,0.07702071353218085
302,0.05132358921848673
303,0.054375130163488744
304,0.03626835675143379
305,0.05563842128873279
306,0.27598800321349154
307,0.2681921947964032
308,0.05461380280254716
309,0.05490857988630643
310,0.05493356448202202
311,0.05461380280254716
312,0.05862010947084855
313,0.05461380280254716
314,0.05461415070055885
315,0.054537717947700536
316,0.05492066340170752
317,0.05461300420389512
318,0.05461380280254716
319,0.05459242760956286
320,0.05458911855398764
321,0.05461380280254716
322,0.3070660711388025
323,0.2797704957817784
324,0.29887048415508854
325,0.2889673710239046
326,0.28947091918067214
327,0.3071280302072989
328,0.3042887909469491
329,0.3065136140056613
330,0.3024912961331655
331,0.30755697910950003
332,0.3070660711388025
333,0.3068122033670409
334,0.3072933912150156
335,0.3070660711388025
336,0.30739267912060986
337,0.3070660711388025
338,0.3070661065927483
339,0.3071244727161817
340,0.30675502042097225
341,0.3070662131510608
342,0.3070660711388025
343,0.3070538626852661
344,0.30767799456189643
345,0.3073263976242828
346,0.30133094913359465
347,0.32299207985954137
348,0.2816369876821447
349,0.3025692445183871
350,0.3053480772392553
351,0.30313866720551724
352,0.2672786644051656
353,0.30227247669364654
354,0.30262342253425845
355,0.30278954049366563
356,0.302444017972676
357,0.30262342253425845
358,0.30228979542986983
359,0.30262342253425845
360,0.3026234036790635
361,0.3025770464152426
362,0.30284280383212075
363,0.30262330501205853
364,0.30262342253425845
365,0.30263882933729946
366,0.30202139963503283
367,0.30262342253425845
368,0.31787589904817537
369,0.050291357432382555
370,0.30021953746860225
371,0.31047020182467855
372,0.2859727714548786
373,0.31775118087857573
374,0.29171445801143814
375,0.3146894034314968
376,0.29330473346716596
377,0.31874412937955
378,0.31787589904817537
379,0.3172921529428972
380,0.3180566026337706
381,0.31787589904817537
382,0.3152306441370365
383,0.31787589904817537
384,0.3178754273418045
385,0.31792960963405986
386,0.3192211683691269
387,0.3178802114068438
388,0.31787712766532505
389,0.31741114715716234
390,0.318625751676499
391,0.23417809350351057
392,0.0853219755096097
393,0.08555268298795424
394,0.03884716692265376
395,0.08935494314857202
396,0.08399258557041724
397,0.0876743242559399
398,0.09543568478575193
399,0.08941755511822697
400,0.08933392870702775
401,0.0888385728118404
402,0.08946440242487551
403,0.08933392870702775
404,0.08808514195652946
405,0.08933392870702775
406,0.08933390690967255
407,0.08938581750373094
408,0.08979788885259746
409,0.08933698377768276
410,0.0893350173283496
411,0.0890593655923635
412,0.08960761272006504
413,0.08933392870702775
